county,district,dist_code,prev_1516,latest_1617,one_year_change,aid_change
UNION,LINDEN CITY,2660,"21,206,794","21,342,950","136,156",0.60%
UNION,MOUNTAINSIDE BORO,3470,"492,364","505,408","13,044",2.60%
UNION,NEW PROVIDENCE BORO,3560,"917,377","949,023","31,646",3.40%
UNION,PLAINFIELD CITY,4160,"121,397,680","124,006,649","2,608,969",2.10%
UNION,RAHWAY CITY,4290,"20,521,655","20,707,800","186,145",0.90%
UNION,ROSELLE BORO,4540,"23,616,110","23,810,181","194,071",0.80%
UNION,ROSELLE PARK BORO,4550,"10,460,264","10,554,830","94,566",0.90%
UNION,SCOTCH PLAINS-FANWOOD REG,4670,"2,947,508","3,014,466","66,958",2.30%
UNION,SPRINGFIELD TWP,5000,"1,328,556","1,355,801","27,245",2.10%
UNION,SUMMIT CITY,5090,"1,607,073","1,655,470","48,397",3.00%
UNION,UNION COUNTY VOCATIONAL,5260,"5,667,336","5,725,257","57,921",1.00%
UNION,UNION TWP,5290,"30,780,527","31,072,907","292,380",0.90%
UNION,WESTFIELD TOWN,5730,"2,956,317","3,032,999","76,682",2.60%
UNION,WINFIELD TWP,5810,"1,660,574","1,672,892","12,318",0.70%
WARREN,ALLAMUCHY TWP,30,"560,195","568,557","8,362",1.50%
WARREN,ALPHA BORO,70,"1,909,118","1,911,978","2,860",0.10%
WARREN,BELVIDERE TOWN,280,"2,834,517","2,838,387","3,870",0.10%
WARREN,BLAIRSTOWN TWP,400,"1,973,757","1,978,747","4,990",0.30%
WARREN,FRANKLIN TWP,1620,"748,291","750,331","2,040",0.30%
WARREN,FRELINGHUYSEN TWP,1670,"616,900","618,360","1,460",0.20%
WARREN,GREAT MEADOWS REGIONAL,1785,"5,907,304","5,918,074","10,770",0.20%
WARREN,GREENWICH TWP,1840,"6,010,678","6,020,883","10,205",0.20%
WARREN,HACKETTSTOWN,1870,"5,101,229","5,152,332","51,103",1.00%
WARREN,HARMONY TWP,2040,"358,530","366,285","7,755",2.20%
WARREN,HOPE TWP,2250,"969,781","972,061","2,280",0.20%
WARREN,KNOWLTON TWP,2470,"1,384,951","1,386,821","1,870",0.10%
WARREN,LOPATCONG TWP,2790,"3,515,639","3,552,251","36,612",1.00%
WARREN,MANSFIELD TWP,2970,"3,565,224","3,597,848","32,624",0.90%
WARREN,NORTH WARREN REGIONAL,3675,"4,995,326","5,014,341","19,015",0.40%
WARREN,OXFORD TWP,3890,"2,559,906","2,608,777","48,871",1.90%
WARREN,PHILLIPSBURG TOWN,4100,"37,441,412","37,483,171","41,759",0.10%
WARREN,POHATCONG TWP,4200,"1,776,958","1,784,292","7,334",0.40%
WARREN,WARREN COUNTY VOCATIONAL,5460,"3,122,249","3,149,187","26,938",0.90%
WARREN,WARREN HILLS REGIONAL,5465,"10,534,423","10,590,833","56,410",0.50%
WARREN,WASHINGTON BORO,5480,"2,758,726","2,785,753","27,027",1.00%
WARREN,WASHINGTON TWP,5530,"2,633,725","2,638,245","4,520",0.20%
WARREN,WHITE TWP,5780,"1,743,789","1,748,109","4,320",0.20%
,,,,,,
